symbol,name,industry,exchange_code,asset_type
IQV,IQVIA Holdings Inc,,NYSE,STOCK
IR,Ingersoll-Rand Inc,,NYSE,STOCK
IRM,Iron Mountain Inc,,NYSE,STOCK
ISRG,Intuitive Surgical Inc,,NASDAQ,STOCK
IT,Gartner Inc,,NYSE,STOCK
ITW,Illinois Tool Works Inc,,NYSE,STOCK
IVZ,Invesco Ltd,,NYSE,STOCK
J,Jacobs Solutions Inc,,NYSE,STOCK
JBHT,J.B. Hunt Transport Services Inc,,NASDAQ,STOCK
JCI,Johnson Controls International plc,,NYSE,STOCK
JKHY,Jack Henry & Associates Inc,,NASDAQ,STOCK
JNJ,Johnson & Johnson,,NYSE,STOCK
JNPR,Juniper Networks Inc,,NYSE,STOCK
JPM,JPMorgan Chase & Company,,NYSE,STOCK
K,Kellanova Company,,NYSE,STOCK
KDP,Keurig Dr Pepper Inc,,NASDAQ,STOCK
KEY,Keycorp,,NYSE,STOCK
KEYS,Keysight Technologies Inc,,NYSE,STOCK
KHC,Kraft Heinz Company,,NASDAQ,STOCK
KIM,Kimco Realty Corporation,,NYSE,STOCK
KLAC,KLA Corp,,NASDAQ,STOCK
KMB,Kimberly-Clark Corp,,NYSE,STOCK
KMI,Kinder Morgan Inc - Class P,,NYSE,STOCK
KMX,Carmax Inc,,NYSE,STOCK
KO,Coca-Cola Company,,NYSE,STOCK
KR,Kroger Company,,NYSE,STOCK
L,Loews Corp,,NYSE,STOCK
LDOS,Leidos Holdings Inc,,NYSE,STOCK
LEN,Lennar Corp - Class A,,NYSE,STOCK
LH,Laboratory Corp Of America Holdings,,NYSE,STOCK
LHX,L3Harris Technologies Inc,,NYSE,STOCK
LIN,Linde Plc.,,NASDAQ,STOCK
LKQ,LKQ Corp,,NASDAQ,STOCK
LLY,Lilly(Eli) & Company,,NYSE,STOCK
LMT,Lockheed Martin Corp,,NYSE,STOCK
LNC,Lincoln National Corp,,NYSE,STOCK
LNT,Alliant Energy Corp,,NASDAQ,STOCK
LOW,Lowe`s Cos. Inc,,NYSE,STOCK
LRCX,Lam Research Corp,,NASDAQ,STOCK
LUV,Southwest Airlines Company,,NYSE,STOCK
LVS,Las Vegas Sands Corp,,NYSE,STOCK
LW,Lamb Weston Holdings Inc,,NYSE,STOCK
LYB,LyondellBasell Industries NV - Class A,,NYSE,STOCK
LYV,Live Nation Entertainment Inc,,NYSE,STOCK
MA,Mastercard Incorporated - Class A,,NYSE,STOCK
MAA,Mid-America Apartment Communities Inc,,NYSE,STOCK
MAR,Marriott International Inc - Class A,,NASDAQ,STOCK
MAS,Masco Corp,,NYSE,STOCK
MCD,McDonald`s Corp,,NYSE,STOCK
MCHP,Microchip Technology Inc,,NASDAQ,STOCK
MCK,Mckesson Corporation,,NYSE,STOCK
MCO,Moody`s Corp,,NYSE,STOCK
MDLZ,Mondelez International Inc - Class A,,NASDAQ,STOCK
MDT,Medtronic Plc,,NYSE,STOCK
MET,Metlife Inc,,NYSE,STOCK
META,Meta Platforms Inc - Class A,,NASDAQ,STOCK
MGM,MGM Resorts International,,NYSE,STOCK
MHK,Mohawk Industries Inc,,NYSE,STOCK
MKC,McCormick & Co. Inc (Non Voting),,NYSE,STOCK
MKTX,MarketAxess Holdings Inc,,NASDAQ,STOCK
MLM,Martin Marietta Materials Inc,,NYSE,STOCK
MMC,Marsh & McLennan Cos. Inc,,NYSE,STOCK
MMM,3M Company,,NYSE,STOCK
MNST,Monster Beverage Corp,,NASDAQ,STOCK
MO,Altria Group Inc,,NYSE,STOCK
MOH,Molina Healthcare Inc,,NYSE,STOCK
MOS,Mosaic Company,,NYSE,STOCK
MPC,Marathon Petroleum Corp,,NYSE,STOCK
MPWR,Monolithic Power System Inc,,NASDAQ,STOCK
MRK,Merck & Co Inc,,NYSE,STOCK
MRNA,Moderna Inc,,NASDAQ,STOCK
MRO,Marathon Oil Corporation,,NYSE,STOCK
MS,Morgan Stanley,,NYSE,STOCK
MSCI,MSCI Inc,,NYSE,STOCK
MSFT,Microsoft Corporation,,NASDAQ,STOCK
MSI,Motorola Solutions Inc,,NYSE,STOCK
MTB,M & T Bank Corp,,NYSE,STOCK
MTCH,Match Group Inc - New,,NASDAQ,STOCK
MTD,Mettler-Toledo International Inc,,NYSE,STOCK
MU,Micron Technology Inc,,NASDAQ,STOCK
NCLH,Norwegian Cruise Line Holdings Ltd,,NYSE,STOCK
NDAQ,Nasdaq Inc - 144A,,NASDAQ,STOCK
NDSN,Nordson Corp,,NASDAQ,STOCK
NEE,NextEra Energy Inc,,NYSE,STOCK
NEM,Newmont Corp,,NYSE,STOCK
NFLX,Netflix Inc,,NASDAQ,STOCK
NI,NiSource Inc,,NYSE,STOCK
NKE,Nike Inc - Class B,,NYSE,STOCK
NOC,Northrop Grumman Corp,,NYSE,STOCK
NOW,ServiceNow Inc,,NYSE,STOCK
NRG,NRG Energy Inc,,NYSE,STOCK
NSC,Norfolk Southern Corp,,NYSE,STOCK
NTAP,Netapp Inc,,NASDAQ,STOCK
NTRS,Northern Trust Corp,,NASDAQ,STOCK
NUE,Nucor Corp,,NYSE,STOCK
NVDA,NVIDIA Corp,,NASDAQ,STOCK
NVR,NVR Inc,,NYSE,STOCK
NWL,Newell Brands Inc,,NASDAQ,STOCK
NWS,News Corp - Class B,,NASDAQ,STOCK
NWSA,News Corp - Class A,,NASDAQ,STOCK
NXPI,NXP Semiconductors NV,,NASDAQ,STOCK
O,Realty Income Corp,,NYSE,STOCK
ODFL,Old Dominion Freight Line Inc,,NASDAQ,STOCK
OGN,Organon & Company,,NYSE,STOCK
OKE,Oneok Inc,,NYSE,STOCK
OMC,Omnicom Group Inc,,NYSE,STOCK
ON,ON Semiconductor Corp,,NASDAQ,STOCK
ORCL,Oracle Corp,,NYSE,STOCK
ORLY,O`Reilly Automotive Inc,,NASDAQ,STOCK
OTIS,Otis Worldwide Corp,,NYSE,STOCK
OXY,Occidental Petroleum Corp,,NYSE,STOCK
PARA,Paramount Global - Class B,,NASDAQ,STOCK
PAYC,Paycom Software Inc,,NYSE,STOCK
PAYX,Paychex Inc,,NASDAQ,STOCK
PCAR,Paccar Inc,,NASDAQ,STOCK
PCG,PG&E Corp,,NYSE,STOCK
PEAK,Healthpeak OP LLC,,NYSE,STOCK
PEG,Public Service Enterprise Group Inc,,NYSE,STOCK
PEP,PepsiCo Inc,,NASDAQ,STOCK
PFE,Pfizer Inc,,NYSE,STOCK
PFG,Principal Financial Group Inc,,NASDAQ,STOCK
PG,Procter & Gamble Company,,NYSE,STOCK
PGR,Progressive Corp,,NYSE,STOCK
PH,Parker-Hannifin Corp,,NYSE,STOCK
PHM,PulteGroup Inc,,NYSE,STOCK
PKG,Packaging Corp Of America,,NYSE,STOCK
PLD,Prologis Inc,,NYSE,STOCK
PM,Philip Morris International Inc,,NYSE,STOCK
PNC,PNC Financial Services Group Inc,,NYSE,STOCK
PNR,Pentair plc,,NYSE,STOCK
PNW,Pinnacle West Capital Corp,,NYSE,STOCK
PODD,Insulet Corporation,,NASDAQ,STOCK
POOL,Pool Corporation,,NASDAQ,STOCK
PPG,PPG Industries Inc,,NYSE,STOCK
PPL,PPL Corp,,NYSE,STOCK
PRU,Prudential Financial Inc,,NYSE,STOCK
PSA,Public Storage.,,NYSE,STOCK
PSX,Phillips 66,,NYSE,STOCK
PTC,PTC Inc,,NASDAQ,STOCK
PWR,Quanta Services Inc,,NYSE,STOCK
PXD,Pioneer Natural Resources Company,,NYSE,STOCK
PYPL,PayPal Holdings Inc,,NASDAQ,STOCK
