date,symbol,open,high,low,close,volume
2022-02-17,CSPX.L,457.01,457.27,450.6,452.31,83178
2022-02-18,CSPX.L,450.23,451.85,444.45,445.51,168019
2022-02-21,CSPX.L,448.45,449.34,440.23,440.5,33789
2022-02-22,CSPX.L,436.35,446.05,436.07,442.48,95476
2022-02-23,CSPX.L,442.87,444.88,437.14,437.76,147416
2022-02-24,CSPX.L,423.26,429.73,420.0,428.31,272909
2022-02-25,CSPX.L,435.17,446.51,433.0,446.24,190405
2022-02-28,CSPX.L,441.82,448.68,439.46,448.18,90941
2022-03-01,CSPX.L,449.01,450.0,442.0,442.0,102391
2022-03-02,CSPX.L,439.75,448.4,438.65,448.4,80387
2022-03-03,CSPX.L,448.07,452.35,444.43,446.46,91023
2022-03-04,CSPX.L,445.14,446.1,438.26,439.21,84498
2022-03-07,CSPX.L,436.3,442.79,434.0,435.66,161865
2022-03-08,CSPX.L,427.21,435.46,425.84,426.43,109794
2022-03-09,CSPX.L,431.34,437.38,429.95,436.97,126767
2022-03-10,CSPX.L,437.35,437.37,430.78,431.15,152873
2022-03-11,CSPX.L,436.4,443.22,434.64,434.65,119292
2022-03-14,CSPX.L,432.96,435.65,427.0,429.93,119725
2022-03-15,CSPX.L,425.75,434.71,423.64,434.44,131269
2022-03-16,CSPX.L,439.49,445.0,439.29,443.56,487847
2022-03-17,CSPX.L,446.17,448.28,443.25,448.23,366467
2022-03-18,CSPX.L,450.13,453.64,447.69,453.64,104510
2022-03-21,CSPX.L,455.49,458.88,454.98,456.3,96745
2022-03-22,CSPX.L,456.97,462.08,456.74,460.72,97516
2022-03-23,CSPX.L,462.08,462.31,458.0,459.39,63534
2022-03-24,CSPX.L,457.74,461.26,457.0,459.23,192588
2022-03-25,CSPX.L,463.39,465.48,460.86,462.48,103626
2022-03-28,CSPX.L,463.32,466.38,462.64,463.98,45284
2022-03-29,CSPX.L,469.73,473.95,468.81,472.21,80702
2022-03-30,CSPX.L,473.86,473.91,471.34,472.08,288574
2022-03-31,CSPX.L,472.22,472.87,469.18,470.17,149401
2022-04-01,CSPX.L,466.34,467.05,462.6,463.68,146941
2022-04-04,CSPX.L,466.0,467.8,464.5,467.55,58686
2022-04-05,CSPX.L,469.03,470.41,466.26,467.42,95126
2022-04-06,CSPX.L,464.04,464.38,456.7,457.29,73682
