Open,High,Low,Close,Adj Close,Volume
82.87,84.4,82.55,82.59,76.95,27861500
81.99,84.14,81.99,83.12,77.45,18671100
83.56,83.66,82.05,83.16,77.48,20869400
83.5,85.07,82.56,82.73,77.08,21753100
83.42,84.7,82.94,83.65,77.94,24768200
83.83,85.44,82.71,85.05,79.24,26122000
85.17,87.21,85.17,86.84,80.91,24866500
85.78,85.93,83.5,83.85,78.13,21800100
85.71,86.82,85.38,85.6,79.76,22444200
86.61,87.11,85.19,86.81,80.88,19306800
86.67,88.46,86.23,87.83,81.83,24566400
88.5,88.89,87.75,88.55,82.51,19032300
88.01,88.66,87.27,87.76,81.77,20382600
87.97,88.5,87.3,87.96,81.96,20689400
88.95,89.8,86.79,87.03,81.09,29010900
86.66,88.12,85.0,85.13,79.32,23591600
82.37,82.66,79.29,82.26,76.64,37698300
82.73,84.72,82.18,82.29,76.67,28941500
83.39,85.48,82.28,84.64,78.86,32773000
84.88,88.14,84.07,87.2,81.25,33683800
88.14,88.14,84.7,85.25,79.43,34656500
85.01,87.04,84.63,86.41,80.51,36335200
86.26,88.78,86.12,88.19,82.17,33908100
89.5,91.88,88.91,91.7,85.44,46188400
92.04,92.05,88.39,90.31,84.15,41013400
90.98,91.82,89.35,91.69,85.43,29619300
89.44,89.56,84.02,84.46,78.69,45851600
85.64,86.89,83.52,85.02,79.22,34483200
86.43,88.94,86.28,86.79,80.87,33020600
85.95,86.38,83.4,86.3,81.23,29491500
87.36,88.95,86.35,88.86,83.64,25798400
88.98,91.98,88.97,90.95,85.61,26101200
91.73,92.45,91.12,92.11,86.7,23120700
92.51,92.92,89.83,90.65,85.33,25451200
89.0,92.3,89.0,91.14,85.79,24387400
91.93,93.59,90.4,91.86,86.47,28795000
92.66,94.77,92.55,93.89,88.38,27239300
92.82,94.79,92.32,94.4,88.86,24293300
94.58,96.53,94.47,96.3,90.65,29947800
96.6,97.43,96.2,96.64,90.97,24314800
95.95,97.93,95.3,97.59,91.86,25588800
98.56,99.78,95.71,96.0,90.36,44888100
97.02,98.71,96.62,97.84,92.1,25815400
97.29,98.1,96.79,97.67,91.94,19089100
97.9,99.66,97.9,99.09,93.27,21038200
99.18,99.78,98.67,98.84,93.04,20682100
99.7,103.43,99.49,103.37,97.3,37810200
103.49,105.57,102.98,104.59,98.45,31613200
103.42,104.57,102.16,102.33,96.32,26607000
101.94,103.35,99.79,100.46,94.56,30950500
97.52,97.77,93.92,95.85,90.22,33421000
97.41,98.67,95.27,96.1,90.46,31264000
95.99,96.57,93.27,94.89,89.32,29620800
92.41,93.13,90.28,91.39,86.02,35696700
90.96,91.35,85.66,86.12,81.06,64610200
88.58,92.53,88.52,91.48,86.11,35951500
87.54,89.76,87.53,87.86,82.7,29727200
88.66,89.05,83.52,85.21,80.21,35757200
86.95,88.4,85.81,86.9,81.8,26639000
87.81,90.04,87.67,89.03,83.8,25478700
91.12,93.24,90.35,91.5,86.13,33096900
92.98,93.2,87.76,88.12,82.95,25400900
86.14,87.6,84.67,85.64,80.61,39948100
86.74,87.88,84.71,87.55,82.41,26327900
86.34,86.7,83.01,84.81,79.83,34591100
83.76,85.23,81.01,83.28,78.39,33375700
85.38,86.76,85.3,85.94,80.89,23817400
86.95,87.3,84.93,86.08,81.03,17673800
85.17,86.12,84.36,85.64,80.61,15603800
83.78,85.05,82.86,84.5,79.54,21013000
83.38,86.31,83.3,84.84,79.86,19928600
81.85,83.31,80.69,83.14,78.26,26343000
84.8,84.88,82.9,84.54,79.58,17243700
86.58,87.94,85.75,86.1,81.04,19395800
86.42,88.52,86.25,88.27,83.09,18248900
87.58,89.65,87.25,89.24,84.0,16584400
86.93,87.8,85.21,87.75,82.6,21375700
