date,symbol,open,high,low,close,volume
2022-04-19,VUAG.L,62.25,62.88,61.71,62.88,35895
2022-04-20,VUAG.L,62.71,63.18,62.56,62.9,35985
2022-04-21,VUAG.L,62.91,63.47,62.63,63.03,15739
2022-04-22,VUAG.L,62.25,62.66,61.95,62.04,32778
2022-04-25,VUAG.L,60.97,61.48,60.8,60.98,42693
2022-04-26,VUAG.L,61.99,62.05,61.32,61.42,49213
2022-04-27,VUAG.L,61.43,61.83,61.1,61.78,21232
2022-04-28,VUAG.L,62.09,62.78,62.0,62.25,24430
2022-04-29,VUAG.L,62.68,62.8,61.56,61.77,12270
2022-05-03,VUAG.L,61.08,61.59,60.75,61.53,57019
2022-05-04,VUAG.L,61.6,61.83,61.04,61.06,9417
2022-05-05,VUAG.L,62.7,63.51,61.7,61.95,20514
2022-05-06,VUAG.L,61.95,62.11,60.69,61.62,26963
2022-05-09,VUAG.L,61.3,61.36,59.87,59.9,46965
2022-05-10,VUAG.L,60.05,60.63,59.33,59.51,64289
2022-05-11,VUAG.L,59.85,60.37,59.11,60.06,50284
2022-05-12,VUAG.L,59.03,59.5,58.46,59.18,31938
2022-05-13,VUAG.L,59.7,60.57,59.53,60.46,39085
2022-05-16,VUAG.L,60.13,60.46,59.86,60.04,33854
2022-05-17,VUAG.L,59.87,60.3,59.54,59.85,42796
2022-05-18,VUAG.L,60.28,60.67,58.95,58.96,45449
2022-05-19,VUAG.L,58.3,58.4,57.18,57.38,69949
2022-05-20,VUAG.L,57.85,58.26,56.99,57.12,52789
2022-05-23,VUAG.L,57.95,58.07,57.21,58.0,33242
2022-05-24,VUAG.L,57.31,58.04,56.96,57.17,31840
2022-05-25,VUAG.L,58.11,58.36,57.72,58.08,31427
2022-05-26,VUAG.L,58.15,59.26,58.11,59.16,60921
2022-05-27,VUAG.L,59.14,60.21,59.01,60.19,34712
2022-05-30,VUAG.L,61.03,61.28,60.65,60.92,29227
2022-05-31,VUAG.L,60.65,61.1,59.92,60.19,27380
2022-06-01,VUAG.L,60.58,61.17,60.18,60.3,21222
2022-06-06,VUAG.L,60.76,61.17,60.66,60.78,28725
2022-06-07,VUAG.L,60.51,60.65,60.08,60.31,23160
2022-06-08,VUAG.L,60.7,61.0,60.63,60.97,14916
2022-06-09,VUAG.L,60.5,60.82,59.98,60.13,9031
2022-06-10,VUAG.L,59.45,59.64,58.21,58.36,25824
2022-06-13,VUAG.L,57.45,57.74,56.88,57.15,36337
2022-06-14,VUAG.L,57.6,57.69,57.01,57.31,12458
2022-06-15,VUAG.L,57.45,57.87,57.11,57.51,28447
2022-06-16,VUAG.L,57.12,57.21,54.91,55.0,47871
2022-06-17,VUAG.L,55.38,55.95,55.0,55.5,44399
2022-06-20,VUAG.L,55.59,55.82,55.42,55.76,19904
2022-06-21,VUAG.L,55.89,56.68,55.71,56.5,35732
2022-06-22,VUAG.L,56.06,56.8,55.68,56.6,22425
2022-06-23,VUAG.L,56.5,57.2,56.5,56.83,24878
2022-06-24,VUAG.L,57.34,58.23,57.22,58.2,25902
2022-06-27,VUAG.L,58.66,59.13,58.34,58.73,62462
2022-06-28,VUAG.L,58.8,59.45,58.61,58.51,33809
2022-06-29,VUAG.L,57.75,58.3,57.42,57.94,21878
2022-06-30,VUAG.L,57.17,57.49,56.42,57.34,24833
2022-07-01,VUAG.L,57.16,58.46,56.92,57.83,12279
2022-07-04,VUAG.L,57.98,58.19,57.69,57.98,24463
2022-07-05,VUAG.L,58.38,58.54,57.76,58.04,4657
2022-07-06,VUAG.L,59.02,59.43,58.79,59.11,24027
2022-07-07,VUAG.L,59.47,59.79,59.17,59.62,19124
2022-07-08,VUAG.L,59.75,60.25,59.58,59.97,21016
2022-07-11,VUAG.L,59.56,59.99,59.38,59.87,15622
2022-07-12,VUAG.L,59.53,59.93,59.46,59.78,4942
2022-07-13,VUAG.L,59.32,59.45,58.4,58.76,11565
2022-07-14,VUAG.L,58.61,58.95,58.24,58.62,6839
2022-07-15,VUAG.L,59.03,59.97,59.01,59.88,12670
2022-07-18,VUAG.L,60.14,60.27,59.58,59.77,10506
2022-07-19,VUAG.L,59.18,59.84,58.92,59.87,8810
2022-07-20,VUAG.L,60.65,61.0,60.22,60.98,14279
2022-07-21,VUAG.L,60.9,61.26,60.87,61.03,12115
2022-07-22,VUAG.L,61.28,61.64,60.9,60.9,22835
2022-07-25,VUAG.L,60.83,61.02,60.49,60.79,14429
2022-07-26,VUAG.L,60.64,60.88,60.2,60.19,11962
2022-07-27,VUAG.L,60.45,60.95,60.36,60.83,9133
2022-07-28,VUAG.L,60.75,61.52,60.56,61.56,20611
2022-07-29,VUAG.L,61.82,62.77,61.78,62.04,25318
2022-08-01,VUAG.L,62.33,62.49,61.66,62.17,13838
2022-08-02,VUAG.L,61.9,62.15,61.67,62.1,30831
2022-08-03,VUAG.L,62.13,62.94,61.84,62.92,21613
2022-08-04,VUAG.L,62.97,63.58,62.9,63.04,22110
2022-08-05,VUAG.L,63.06,63.48,62.92,62.97,22126
2022-08-08,VUAG.L,63.41,63.69,63.25,63.44,15910
2022-08-09,VUAG.L,63.36,63.43,62.79,63.01,7539
2022-08-10,VUAG.L,62.9,63.51,62.79,63.26,27675
2022-08-11,VUAG.L,63.71,64.16,63.57,63.94,18600
2022-08-12,VUAG.L,63.81,64.66,63.66,64.57,17187
2022-08-15,VUAG.L,65.01,65.26,64.79,65.25,40477
2022-08-16,VUAG.L,65.73,65.92,65.2,65.56,19096
2022-08-17,VUAG.L,65.63,65.82,65.17,65.39,15482
2022-08-18,VUAG.L,65.44,65.85,65.33,65.82,17871
2022-08-19,VUAG.L,66.11,66.41,65.91,66.08,13276
2022-08-22,VUAG.L,65.62,65.92,64.97,65.24,24221
2022-08-23,VUAG.L,65.03,65.28,64.26,64.37,21924
2022-08-24,VUAG.L,64.33,64.92,64.28,64.93,13163
2022-08-25,VUAG.L,65.24,65.3,64.84,65.03,45750
2022-08-26,VUAG.L,65.7,65.92,64.44,64.53,14090
2022-08-30,VUAG.L,63.73,64.21,62.99,63.17,57215
2022-08-31,VUAG.L,63.34,63.79,63.04,63.13,21795
2022-09-01,VUAG.L,62.7,63.02,62.39,62.62,16315
2022-09-02,VUAG.L,63.2,64.08,63.2,64.01,20572
2022-09-05,VUAG.L,63.3,63.57,62.99,63.13,23623
2022-09-06,VUAG.L,62.9,63.23,62.4,62.9,22517
2022-09-07,VUAG.L,62.78,63.58,62.66,63.47,16051
2022-09-08,VUAG.L,63.99,64.44,63.49,64.38,20075
2022-09-09,VUAG.L,64.04,64.81,63.78,64.71,14130
2022-09-12,VUAG.L,64.51,65.06,64.47,64.92,21919
2022-09-13,VUAG.L,65.08,65.41,63.76,63.83,28406
2022-09-14,VUAG.L,63.52,63.54,62.77,63.03,15981
2022-09-15,VUAG.L,63.34,63.49,62.87,63.06,14035
2022-09-16,VUAG.L,62.63,62.93,62.24,62.29,17939
2022-09-20,VUAG.L,63.12,63.23,62.36,62.58,10474
2022-09-21,VUAG.L,62.74,63.29,62.59,63.21,7999
2022-09-22,VUAG.L,62.07,68.0,61.58,61.67,14721
2022-09-23,VUAG.L,61.67,62.61,61.47,62.43,17389
2022-09-26,VUAG.L,63.36,63.92,62.38,62.63,64707
2022-09-27,VUAG.L,63.33,63.76,63.0,63.01,22523
2022-09-28,VUAG.L,63.1,63.6,62.0,63.37,16259
2022-09-29,VUAG.L,63.28,63.3,60.9,61.09,24788
2022-09-30,VUAG.L,60.7,61.25,60.39,60.83,27360
2022-10-03,VUAG.L,59.38,60.07,59.0,59.88,36419
2022-10-04,VUAG.L,60.55,61.38,60.39,61.2,47244
2022-10-05,VUAG.L,60.75,61.68,60.7,61.44,18706
2022-10-06,VUAG.L,61.64,62.5,61.39,62.43,11559
2022-10-07,VUAG.L,61.86,64.54,60.92,61.02,6185
2022-10-10,VUAG.L,60.5,61.14,60.25,60.58,16054
2022-10-11,VUAG.L,60.27,60.28,59.77,60.01,11334
2022-10-12,VUAG.L,60.7,60.76,59.98,60.08,18824
2022-10-13,VUAG.L,59.81,60.05,57.81,59.04,90281
2022-10-14,VUAG.L,60.42,61.06,59.57,59.87,24425
2022-10-17,VUAG.L,59.38,60.01,59.11,59.54,12516
2022-10-18,VUAG.L,60.79,61.48,60.66,60.6,17449
2022-10-19,VUAG.L,61.14,61.34,60.8,60.96,9748
2022-10-20,VUAG.L,60.81,61.11,60.5,60.81,19794
2022-10-21,VUAG.L,60.45,61.32,60.39,60.87,8035
2022-10-24,VUAG.L,61.2,62.04,60.9,61.86,13003
2022-10-25,VUAG.L,62.37,62.5,61.52,61.88,13406
2022-10-26,VUAG.L,61.65,61.9,61.11,61.9,7500
2022-10-27,VUAG.L,61.33,61.59,60.92,61.17,8220
2022-10-28,VUAG.L,60.57,61.87,60.29,61.68,6610
2022-10-31,VUAG.L,62.25,62.62,62.03,62.44,8938
2022-11-01,VUAG.L,62.58,62.85,62.05,62.26,11447
2022-11-02,VUAG.L,62.16,62.2,61.72,61.83,12572
2022-11-03,VUAG.L,61.39,61.87,61.26,61.91,11107
2022-11-04,VUAG.L,61.57,62.14,60.96,61.23,13344
2022-11-07,VUAG.L,61.45,61.45,60.9,61.12,14990
2022-11-08,VUAG.L,61.3,61.82,61.2,61.6,17182
2022-11-09,VUAG.L,61.5,61.87,61.31,61.63,12832
2022-11-10,VUAG.L,61.07,62.17,60.8,62.19,30240
2022-11-11,VUAG.L,62.81,63.17,62.14,62.16,38406
2022-11-14,VUAG.L,62.57,63.08,62.31,62.79,17806
2022-11-15,VUAG.L,62.36,63.12,62.12,62.47,22611
2022-11-16,VUAG.L,62.36,62.55,61.72,61.9,16490
2022-11-17,VUAG.L,61.73,61.76,61.4,61.6,8557
2022-11-18,VUAG.L,61.39,62.0,61.33,61.53,19945
2022-11-21,VUAG.L,61.86,62.11,61.82,61.93,30595
2022-11-22,VUAG.L,61.79,62.12,61.68,62.1,13344
2022-11-23,VUAG.L,62.4,62.77,61.75,61.85,19800
2022-11-24,VUAG.L,61.97,62.02,61.6,61.71,16786
2022-11-25,VUAG.L,61.81,61.87,61.69,61.74,17317
2022-11-28,VUAG.L,61.53,61.64,61.13,61.47,9360
2022-11-29,VUAG.L,61.31,61.5,60.99,61.0,17293
2022-11-30,VUAG.L,61.39,61.45,61.05,61.41,21315
2022-12-01,VUAG.L,62.6,62.65,61.3,61.56,23821
2022-12-02,VUAG.L,61.57,62.01,60.87,61.28,52344
2022-12-05,VUAG.L,61.18,61.51,60.79,61.23,34456
2022-12-06,VUAG.L,60.8,61.03,59.79,59.94,17593
2022-12-07,VUAG.L,60.23,60.44,59.53,59.81,18097
2022-12-08,VUAG.L,59.89,60.26,59.84,60.06,13486
2022-12-09,VUAG.L,60.18,60.22,59.61,59.85,11140
2022-12-12,VUAG.L,59.51,59.9,59.23,59.79,11357
2022-12-13,VUAG.L,60.29,61.48,60.04,60.57,23711
2022-12-14,VUAG.L,60.38,60.54,60.1,60.46,10907
2022-12-15,VUAG.L,59.51,59.7,58.96,59.16,84334
2022-12-16,VUAG.L,59.21,59.24,58.52,58.72,33057
2022-12-19,VUAG.L,58.7,58.94,58.36,58.36,69381
2022-12-20,VUAG.L,57.91,58.63,57.79,58.28,8271
2022-12-21,VUAG.L,58.51,59.6,58.46,59.6,41529
2022-12-22,VUAG.L,59.48,59.63,58.69,58.72,19845
2022-12-23,VUAG.L,58.85,59.0,58.8,58.9,7244
2022-12-28,VUAG.L,59.19,59.4,58.67,58.69,11624
2022-12-29,VUAG.L,58.49,59.27,58.43,59.07,16649
2022-12-30,VUAG.L,58.98,59.25,58.9,59.03,16173
