symbol,name,industry,exchange_code,asset_type,data_source, note_1
EBAY,EBay Inc,,NASDAQ,STOCK,YFINANCE,SP500
ECL,Ecolab Inc,,NYSE,STOCK,YFINANCE,SP500
ED,Consolidated Edison Inc,,NYSE,STOCK,YFINANCE,SP500
EFX,Equifax Inc,,NYSE,STOCK,YFINANCE,SP500
EIX,Edison International,,NYSE,STOCK,YFINANCE,SP500
EL,Estee Lauder Cos. Inc - Class A,,NYSE,STOCK,YFINANCE,SP500
ELV,Elevance Health Inc,,NYSE,STOCK,YFINANCE,SP500
EMN,Eastman Chemical Company,,NYSE,STOCK,YFINANCE,SP500
EMR,Emerson Electric Company,,NYSE,STOCK,YFINANCE,SP500
ENPH,Enphase Energy Inc,,NASDAQ,STOCK,YFINANCE,SP500
EOG,EOG Resources Inc,,NYSE,STOCK,YFINANCE,SP500
EPAM,EPAM Systems Inc,,NYSE,STOCK,YFINANCE,SP500
EQIX,Equinix Inc,,NASDAQ,STOCK,YFINANCE,SP500
EQR,Equity Residential Properties Trust,,NYSE,STOCK,YFINANCE,SP500
EQT,EQT Corp,,NYSE,STOCK,YFINANCE,SP500
ES,Eversource Energy,,NYSE,STOCK,YFINANCE,SP500
ESS,Essex Property Trust Inc,,NYSE,STOCK,YFINANCE,SP500
ETN,Eaton Corporation plc,,NYSE,STOCK,YFINANCE,SP500
ETR,Entergy Corp,,NYSE,STOCK,YFINANCE,SP500
ETSY,Etsy Inc,,NASDAQ,STOCK,YFINANCE,SP500
EVRG,Evergy Inc,,NASDAQ,STOCK,YFINANCE,SP500
EW,Edwards Lifesciences Corp,,NYSE,STOCK,YFINANCE,SP500
EXC,Exelon Corp,,NASDAQ,STOCK,YFINANCE,SP500
EXPD,Expeditors International Of Washington Inc,,NASDAQ,STOCK,YFINANCE,SP500
EXPE,Expedia Group Inc,,NASDAQ,STOCK,YFINANCE,SP500
EXR,Extra Space Storage Inc,,NYSE,STOCK,YFINANCE,SP500
F,Ford Motor Company,,NYSE,STOCK,YFINANCE,SP500
FANG,Diamondback Energy Inc,,NASDAQ,STOCK,YFINANCE,SP500
FAST,Fastenal Company,,NASDAQ,STOCK,YFINANCE,SP500
FCX,Freeport-McMoRan Inc,,NYSE,STOCK,YFINANCE,SP500
FDS,Factset Research Systems Inc,,NYSE,STOCK,YFINANCE,SP500
FDX,Fedex Corp,,NYSE,STOCK,YFINANCE,SP500
FE,Firstenergy Corp,,NYSE,STOCK,YFINANCE,SP500
FFIV,F5 Inc,,NASDAQ,STOCK,YFINANCE,SP500
FI,Fiserv Inc,,NYSE,STOCK,YFINANCE,SP500
FICO,Fair Isaac Corp,,NYSE,STOCK,YFINANCE,SP500
FIS,Fidelity National Information Services Inc,,NYSE,STOCK,YFINANCE,SP500
FITB,Fifth Third Bancorp,,NASDAQ,STOCK,YFINANCE,SP500
FLT,Fleetcor Technologies Inc,,NYSE,STOCK,YFINANCE,SP500
FMC,FMC Corp,,NYSE,STOCK,YFINANCE,SP500
FOX,Fox Corporation - Class B,,NASDAQ,STOCK,YFINANCE,SP500
FOXA,Fox Corporation - Class A,,NASDAQ,STOCK,YFINANCE,SP500
FRT,Federal Realty Investment Trust.,,NYSE,STOCK,YFINANCE,SP500
FSLR,First Solar Inc,,NASDAQ,STOCK,YFINANCE,SP500
FTNT,Fortinet Inc,,NASDAQ,STOCK,YFINANCE,SP500
FTV,Fortive Corp,,NYSE,STOCK,YFINANCE,SP500
GD,General Dynamics Corp,,NYSE,STOCK,YFINANCE,SP500
GE,General Electric Company,,NYSE,STOCK,YFINANCE,SP500
GEHC,GE HealthCare Technologies Inc,,NASDAQ,STOCK,YFINANCE,SP500
GEN,Gen Digital Inc,,NASDAQ,STOCK,YFINANCE,SP500
GILD,Gilead Sciences Inc,,NASDAQ,STOCK,YFINANCE,SP500
GIS,General Mills Inc,,NYSE,STOCK,YFINANCE,SP500
GL,Globe Life Inc,,NYSE,STOCK,YFINANCE,SP500
GLW,Corning Inc,,NYSE,STOCK,YFINANCE,SP500
GM,General Motors Company,,NYSE,STOCK,YFINANCE,SP500
GNRC,Generac Holdings Inc,,NYSE,STOCK,YFINANCE,SP500
GOOG,Alphabet Inc - Class C,,NASDAQ,STOCK,YFINANCE,SP500
GOOGL,Alphabet Inc - Class A,,NASDAQ,STOCK,YFINANCE,SP500
GPC,Genuine Parts Company,,NYSE,STOCK,YFINANCE,SP500
GPN,Global Payments Inc,,NYSE,STOCK,YFINANCE,SP500
GRMN,Garmin Ltd,,NYSE,STOCK,YFINANCE,SP500
GS,Goldman Sachs Group Inc,,NYSE,STOCK,YFINANCE,SP500
GWW,W.W. Grainger Inc,,NYSE,STOCK,YFINANCE,SP500
HAL,Halliburton Company,,NYSE,STOCK,YFINANCE,SP500
HAS,Hasbro Inc,,NASDAQ,STOCK,YFINANCE,SP500
HBAN,Huntington Bancshares Inc,,NASDAQ,STOCK,YFINANCE,SP500
HCA,HCA Healthcare Inc,,NYSE,STOCK,YFINANCE,SP500
HD,Home Depot Inc,,NYSE,STOCK,YFINANCE,SP500
HES,Hess Corporation,,NYSE,STOCK,YFINANCE,SP500
HIG,Hartford Financial Services Group Inc,,NYSE,STOCK,YFINANCE,SP500
HII,Huntington Ingalls Industries Inc,,NYSE,STOCK,YFINANCE,SP500
HLT,Hilton Worldwide Holdings Inc,,NYSE,STOCK,YFINANCE,SP500
HOLX,Hologic Inc,,NASDAQ,STOCK,YFINANCE,SP500
HON,Honeywell International Inc,,NASDAQ,STOCK,YFINANCE,SP500
HPE,Hewlett Packard Enterprise Company,,NYSE,STOCK,YFINANCE,SP500
HPQ,HP Inc,,NYSE,STOCK,YFINANCE,SP500
HRL,Hormel Foods Corp,,NYSE,STOCK,YFINANCE,SP500
HSIC,Henry Schein Inc,,NASDAQ,STOCK,YFINANCE,SP500
HST,Host Hotels & Resorts Inc,,NASDAQ,STOCK,YFINANCE,SP500
HSY,Hershey Company,,NYSE,STOCK,YFINANCE,SP500
HUM,Humana Inc,,NYSE,STOCK,YFINANCE,SP500
HWM,Howmet Aerospace Inc,,NYSE,STOCK,YFINANCE,SP500
IBM,International Business Machines Corp,,NYSE,STOCK,YFINANCE,SP500
ICE,Intercontinental Exchange Inc,,NYSE,STOCK,YFINANCE,SP500
IDXX,Idexx Laboratories Inc,,NASDAQ,STOCK,YFINANCE,SP500
IEX,Idex Corporation,,NYSE,STOCK,YFINANCE,SP500
IFF,International Flavors & Fragrances Inc,,NYSE,STOCK,YFINANCE,SP500
ILMN,Illumina Inc,,NASDAQ,STOCK,YFINANCE,SP500
INCY,Incyte Corp,,NASDAQ,STOCK,YFINANCE,SP500
INTC,Intel Corp,,NASDAQ,STOCK,YFINANCE,SP500
INTU,Intuit Inc,,NASDAQ,STOCK,YFINANCE,SP500
INVH,Invitation Homes Inc,,NYSE,STOCK,YFINANCE,SP500
IP,International Paper Company,,NYSE,STOCK,YFINANCE,SP500
IPG,Interpublic Group Of Cos. Inc,,NYSE,STOCK,YFINANCE,SP500
IQV,IQVIA Holdings Inc,,NYSE,STOCK,YFINANCE,SP500
IR,Ingersoll-Rand Inc,,NYSE,STOCK,YFINANCE,SP500
IRM,Iron Mountain Inc,,NYSE,STOCK,YFINANCE,SP500
ISRG,Intuitive Surgical Inc,,NASDAQ,STOCK,YFINANCE,SP500
IT,Gartner Inc,,NYSE,STOCK,YFINANCE,SP500
ITW,Illinois Tool Works Inc,,NYSE,STOCK,YFINANCE,SP500
IVZ,Invesco Ltd,,NYSE,STOCK,YFINANCE,SP500
J,Jacobs Solutions Inc,,NYSE,STOCK,YFINANCE,SP500
JBHT,J.B. Hunt Transport Services Inc,,NASDAQ,STOCK,YFINANCE,SP500
JCI,Johnson Controls International plc,,NYSE,STOCK,YFINANCE,SP500
JKHY,Jack Henry & Associates Inc,,NASDAQ,STOCK,YFINANCE,SP500
JNJ,Johnson & Johnson,,NYSE,STOCK,YFINANCE,SP500
JNPR,Juniper Networks Inc,,NYSE,STOCK,YFINANCE,SP500
JPM,JPMorgan Chase & Company,,NYSE,STOCK,YFINANCE,SP500
K,Kellanova Company,,NYSE,STOCK,YFINANCE,SP500
KDP,Keurig Dr Pepper Inc,,NASDAQ,STOCK,YFINANCE,SP500
KEY,Keycorp,,NYSE,STOCK,YFINANCE,SP500
KEYS,Keysight Technologies Inc,,NYSE,STOCK,YFINANCE,SP500
KHC,Kraft Heinz Company,,NASDAQ,STOCK,YFINANCE,SP500
KIM,Kimco Realty Corporation,,NYSE,STOCK,YFINANCE,SP500
KLAC,KLA Corp,,NASDAQ,STOCK,YFINANCE,SP500
KMB,Kimberly-Clark Corp,,NYSE,STOCK,YFINANCE,SP500
KMI,Kinder Morgan Inc - Class P,,NYSE,STOCK,YFINANCE,SP500
KMX,Carmax Inc,,NYSE,STOCK,YFINANCE,SP500
KO,Coca-Cola Company,,NYSE,STOCK,YFINANCE,SP500
KR,Kroger Company,,NYSE,STOCK,YFINANCE,SP500
L,Loews Corp,,NYSE,STOCK,YFINANCE,SP500
LDOS,Leidos Holdings Inc,,NYSE,STOCK,YFINANCE,SP500
LEN,Lennar Corp - Class A,,NYSE,STOCK,YFINANCE,SP500
LH,Laboratory Corp Of America Holdings,,NYSE,STOCK,YFINANCE,SP500
LHX,L3Harris Technologies Inc,,NYSE,STOCK,YFINANCE,SP500
LIN,Linde Plc.,,NASDAQ,STOCK,YFINANCE,SP500
LKQ,LKQ Corp,,NASDAQ,STOCK,YFINANCE,SP500
LLY,Lilly(Eli) & Company,,NYSE,STOCK,YFINANCE,SP500
LMT,Lockheed Martin Corp,,NYSE,STOCK,YFINANCE,SP500
LNC,Lincoln National Corp,,NYSE,STOCK,YFINANCE,SP500
LNT,Alliant Energy Corp,,NASDAQ,STOCK,YFINANCE,SP500
LOW,Lowe`s Cos. Inc,,NYSE,STOCK,YFINANCE,SP500
LRCX,Lam Research Corp,,NASDAQ,STOCK,YFINANCE,SP500
LUV,Southwest Airlines Company,,NYSE,STOCK,YFINANCE,SP500
LVS,Las Vegas Sands Corp,,NYSE,STOCK,YFINANCE,SP500
LW,Lamb Weston Holdings Inc,,NYSE,STOCK,YFINANCE,SP500
LYB,LyondellBasell Industries NV - Class A,,NYSE,STOCK,YFINANCE,SP500
LYV,Live Nation Entertainment Inc,,NYSE,STOCK,YFINANCE,SP500
MA,Mastercard Incorporated - Class A,,NYSE,STOCK,YFINANCE,SP500
MAA,Mid-America Apartment Communities Inc,,NYSE,STOCK,YFINANCE,SP500
MAR,Marriott International Inc - Class A,,NASDAQ,STOCK,YFINANCE,SP500
MAS,Masco Corp,,NYSE,STOCK,YFINANCE,SP500
MCD,McDonald`s Corp,,NYSE,STOCK,YFINANCE,SP500
MCHP,Microchip Technology Inc,,NASDAQ,STOCK,YFINANCE,SP500
MCK,Mckesson Corporation,,NYSE,STOCK,YFINANCE,SP500
MCO,Moody`s Corp,,NYSE,STOCK,YFINANCE,SP500
MDLZ,Mondelez International Inc - Class A,,NASDAQ,STOCK,YFINANCE,SP500
MDT,Medtronic Plc,,NYSE,STOCK,YFINANCE,SP500
MET,Metlife Inc,,NYSE,STOCK,YFINANCE,SP500
META,Meta Platforms Inc - Class A,,NASDAQ,STOCK,YFINANCE,SP500
MGM,MGM Resorts International,,NYSE,STOCK,YFINANCE,SP500
MHK,Mohawk Industries Inc,,NYSE,STOCK,YFINANCE,SP500
MKC,McCormick & Co. Inc (Non Voting),,NYSE,STOCK,YFINANCE,SP500
MKTX,MarketAxess Holdings Inc,,NASDAQ,STOCK,YFINANCE,SP500
MLM,Martin Marietta Materials Inc,,NYSE,STOCK,YFINANCE,SP500
MMC,Marsh & McLennan Cos. Inc,,NYSE,STOCK,YFINANCE,SP500
MMM,3M Company,,NYSE,STOCK,YFINANCE,SP500
MNST,Monster Beverage Corp,,NASDAQ,STOCK,YFINANCE,SP500
MO,Altria Group Inc,,NYSE,STOCK,YFINANCE,SP500
MOH,Molina Healthcare Inc,,NYSE,STOCK,YFINANCE,SP500
MOS,Mosaic Company,,NYSE,STOCK,YFINANCE,SP500
MPC,Marathon Petroleum Corp,,NYSE,STOCK,YFINANCE,SP500
MPWR,Monolithic Power System Inc,,NASDAQ,STOCK,YFINANCE,SP500
MRK,Merck & Co Inc,,NYSE,STOCK,YFINANCE,SP500
MRNA,Moderna Inc,,NASDAQ,STOCK,YFINANCE,SP500
MRO,Marathon Oil Corporation,,NYSE,STOCK,YFINANCE,SP500
MS,Morgan Stanley,,NYSE,STOCK,YFINANCE,SP500
MSCI,MSCI Inc,,NYSE,STOCK,YFINANCE,SP500
MSFT,Microsoft Corporation,,NASDAQ,STOCK,YFINANCE,SP500
MSI,Motorola Solutions Inc,,NYSE,STOCK,YFINANCE,SP500
MTB,M & T Bank Corp,,NYSE,STOCK,YFINANCE,SP500
MTCH,Match Group Inc - New,,NASDAQ,STOCK,YFINANCE,SP500
MTD,Mettler-Toledo International Inc,,NYSE,STOCK,YFINANCE,SP500
MU,Micron Technology Inc,,NASDAQ,STOCK,YFINANCE,SP500
NCLH,Norwegian Cruise Line Holdings Ltd,,NYSE,STOCK,YFINANCE,SP500
NDAQ,Nasdaq Inc - 144A,,NASDAQ,STOCK,YFINANCE,SP500
NDSN,Nordson Corp,,NASDAQ,STOCK,YFINANCE,SP500
NEE,NextEra Energy Inc,,NYSE,STOCK,YFINANCE,SP500
NEM,Newmont Corp,,NYSE,STOCK,YFINANCE,SP500
NFLX,Netflix Inc,,NASDAQ,STOCK,YFINANCE,SP500
NI,NiSource Inc,,NYSE,STOCK,YFINANCE,SP500
NKE,Nike Inc - Class B,,NYSE,STOCK,YFINANCE,SP500
NOC,Northrop Grumman Corp,,NYSE,STOCK,YFINANCE,SP500
NOW,ServiceNow Inc,,NYSE,STOCK,YFINANCE,SP500
NRG,NRG Energy Inc,,NYSE,STOCK,YFINANCE,SP500
NSC,Norfolk Southern Corp,,NYSE,STOCK,YFINANCE,SP500
NTAP,Netapp Inc,,NASDAQ,STOCK,YFINANCE,SP500
NTRS,Northern Trust Corp,,NASDAQ,STOCK,YFINANCE,SP500
NUE,Nucor Corp,,NYSE,STOCK,YFINANCE,SP500
NVDA,NVIDIA Corp,,NASDAQ,STOCK,YFINANCE,SP500
NVR,NVR Inc,,NYSE,STOCK,YFINANCE,SP500
NWL,Newell Brands Inc,,NASDAQ,STOCK,YFINANCE,SP500
NWS,News Corp - Class B,,NASDAQ,STOCK,YFINANCE,SP500
NWSA,News Corp - Class A,,NASDAQ,STOCK,YFINANCE,SP500
NXPI,NXP Semiconductors NV,,NASDAQ,STOCK,YFINANCE,SP500
O,Realty Income Corp,,NYSE,STOCK,YFINANCE,SP500
ODFL,Old Dominion Freight Line Inc,,NASDAQ,STOCK,YFINANCE,SP500
