Symbol,Company Name,exchange_code,asset_type,data_source,note_1
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
M&M.NS,Mahindra & Mahindra Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MANKIND.NS,Mankind Pharma Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MARICO.NS,Marico Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MARUTI.NS,Maruti Suzuki India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MFSL.NS,Max Financial Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MAXHEALTH.NS,Max Healthcare Institute Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MPHASIS.NS,MphasiS Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MUTHOOTFIN.NS,Muthoot Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NHPC.NS,NHPC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NLCINDIA.NS,NLC India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NMDC.NS,NMDC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NTPC.NS,NTPC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NESTLEIND.NS,Nestle India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
OBEROIRLTY.NS,Oberoi Realty Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ONGC.NS,Oil & Natural Gas Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
OIL.NS,Oil India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PAYTM.NS,One 97 Communications Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
OFSS.NS,Oracle Financial Services Software Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POLICYBZR.NS,PB Fintech Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PIIND.NS,PI Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PAGEIND.NS,Page Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PATANJALI.NS,Patanjali Foods Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PERSISTENT.NS,Persistent Systems Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PETRONET.NS,Petronet LNG Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PHOENIXLTD.NS,Phoenix Mills Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PIDILITIND.NS,Pidilite Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POLYCAB.NS,Polycab India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POONAWALLA.NS,Poonawalla Fincorp Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PFC.NS,Power Finance Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POWERGRID.NS,Power Grid Corporation of India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PRESTIGE.NS,Prestige Estates Projects Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PNB.NS,Punjab National Bank,NSE,STOCK,NSEINDIA-COM,NIFTY200
RECLTD.NS,REC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
RVNL.NS,Rail Vikas Nigam Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
RELIANCE.NS,Reliance Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SBICARD.NS,SBI Cards and Payment Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SBILIFE.NS,SBI Life Insurance Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SJVN.NS,SJVN Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SRF.NS,SRF Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MOTHERSON.NS,Samvardhana Motherson International Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SHREECEM.NS,Shree Cement Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SHRIRAMFIN.NS,Shriram Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SIEMENS.NS,Siemens Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SOLARINDS.NS,Solar Industries India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SBIN.NS,State Bank of India,NSE,STOCK,NSEINDIA-COM,NIFTY200
SAIL.NS,Steel Authority of India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUNDARMFIN.NS,Sundaram Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUPREMEIND.NS,Supreme Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUZLON.NS,Suzlon Energy Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TVSMOTOR.NS,TVS Motor Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATACHEM.NS,Tata Chemicals Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATACOMM.NS,Tata Communications Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TCS.NS,Tata Consultancy Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATACONSUM.NS,Tata Consumer Products Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATAELXSI.NS,Tata Elxsi Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATAMOTORS.NS,Tata Motors Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATAPOWER.NS,Tata Power Co. Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATASTEEL.NS,Tata Steel Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATATECH.NS,Tata Technologies Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TECHM.NS,Tech Mahindra Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TITAN.NS,Titan Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TORNTPOWER.NS,Torrent Power Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TRENT.NS,Trent Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TIINDIA.NS,Tube Investments of India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
UPL.NS,UPL Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ULTRACEMCO.NS,UltraTech Cement Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
UNIONBANK.NS,Union Bank of India,NSE,STOCK,NSEINDIA-COM,NIFTY200
UNITDSPR.NS,United Spirits Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
VBL.NS,Varun Beverages Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
VEDL.NS,Vedanta Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IDEA.NS,Vodafone Idea Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
VOLTAS.NS,Voltas Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
WIPRO.NS,Wipro Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
YESBANK.NS,Yes Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ZOMATO.NS,Zomato Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
